chanel,link,date,text
@rusbrief,https://t.me/rusbrief/192475,2024-01-19 18:10:31,Также в список иноагентов Минюст РФ включил лекторий «Живое слово» и «Комитет ингушской независимости».
@rusbrief,https://t.me/rusbrief/192474,2024-01-19 18:04:27,Оппозиционный политик Евгения Чирикова признана иноагентом — Минюст РФ.
@rusbrief,https://t.me/rusbrief/192473,2024-01-19 18:02:34,"Журналистка Лола Тагаева и философ, публицист Григорий Юдин включены в реестр иноагентов — Минюст РФ."
@rusbrief,https://t.me/rusbrief/192472,2024-01-19 17:57:12,"В Курске включили оповещение о ракетной опасности, сообщил курский губернатор Роман Старовойт."
@rusbrief,https://t.me/rusbrief/192471,2024-01-19 17:57:03,"Латвия начала методично высылать русских стариков… тут возникает вопрос, а почему официальная Рига позволяет себе такое?.. Давайте вспомним, как реагировала Россия раньше не марши ветеранов СС в Риге? Ну помимо стандартных заявлений дипломатов. Как реагировала на закрытие русских школ? На русофобские выходки? На полное оправдание нацизма, ну вроде того, что концлагерь Саласпилс в латвийской официальной риторике стали называть исправительных лагерем. Как реагировали-то? Да никак. Уважаемые люди покупали дорогие  дома в Юрмале, до поры там же проводили фестивали и прочие развлекательные мероприятия. Российские компании гнали грузы через Рижский порт, и был даже план постройки скоростной железной дороги до Риги... Поэтому, как мне кажется, не слишком удивительно, что Латвия позволяет себе глумиться над русскими стариками. Если ты не ведёшь себя всерьёз, то тебя и не воспринимают всерьёз. Не так ли? Андрей Медведев"
@rusbrief,https://t.me/rusbrief/192470,2024-01-19 17:52:35,"Протестные митинги в Башкирии не должны существенно подорвать позиции главы республики Радия Хабирова: в администрации президента РФ полагают, что речь идет о ""единичном эксцессе"", который не будет иметь кардинальных последствий. ""Можно сказать одно — башкирские власти, конечно, не предугадали ситуацию, плохо на нее отреагировали, приняли множество неверных решений. Но пока позициям Хабирова прямой угрозы нет. Если происходящее вдруг выйдет из-под контроля руководства республики — тогда, конечно, будут приниматься меры. Но опять же. шансы на то, что все пойдет по негативному сценарию, крайне малы, ведь повод для протестов довольно локальный и вряд ли уличные акции могут быть масштабированы даже на весь регион"", — подчеркивают собеседники, знакомые с происходящим в регионе. @kremlin_sekret"
@rusbrief,https://t.me/rusbrief/192469,2024-01-19 17:47:38,"Политолог Алексей Макаркин в своей статье для Forbes: Опыт показывает, что национальные движения в условиях жесткого давления на них трансформируются. Одни их участники эмигрируют — сейчас есть такая возможность, а в СССР ее не было. Другие идут на конфликт, и здесь кто-то может оказаться в тюрьме, а кто-то — получить административные наказания, причем опыт волнений около суда в Баймаке показывает, что далеко не для всех риск столкновения с властью является препятствием для выхода на улицу, хотя такие «вспышки» быстро заканчиваются. Третьи — и их большинство, тем более если говорить не о непосредственных участниках, а о симпатизантах — формально отходят от политики, но не отказываются от своих взглядов. В Башкирии ситуация развивается именно по такому сценарию — и речь идет о долгосрочном процессе."
@rusbrief,https://t.me/rusbrief/192468,2024-01-19 17:42:46,"Политолог Алексей Макаркин в своей статье для Forbes: В стремлении искоренить национализм уже «дуют на воду». Пример — история с якутским фильмом «Айта», вышедшим в марте 2023 года. Он стал самым популярным фильмом якутского кинематографа, представляющим собой интересный феномен авторского кино, который критики называют «якутской волной». «Айту», в которой речь идет в том числе и о межнациональных отношениях, высоко оценила российская пресса. Однако спустя полгода после премьеры фильма Роскомнадзор потребовал удалить его из всех онлайн-кинотеатров, заявив, что в нем содержится «деструктивная информация, противоречащая принципам единства народов России». Несмотря на то, что за фильм вступился глава Якутии Айсен Николаев, Минкульт отозвал у «Айты» прокатное удостоверение."
@rusbrief,https://t.me/rusbrief/192467,2024-01-19 17:38:02,"Политолог Алексей Макаркин в своей статье для Forbes: Башкирская история — это очередной сигнал, что федеральная власть рассматривает национальные движения как серьезную угрозу, видимо, вспоминая и о временах распада СССР, и о сепаратизме 1990-х. И видит в акциях протеста результат действий западных спецслужб по расшатыванию стабильности в стране. Это было заметно еще до февраля 2022 года — отсюда и запрет организации башкирских националистов в 2020 году, — но начало спецоперации на Украине только закрепило тенденцию. Кстати, проблемы есть и у русских националистов, даже сторонников «спецоперации», которые при этом занимаются критикой власти, — можно вспомнить о судьбе Игоря Стрелкова. С точки зрения лоялистов, угрозу представляют и националисты из разных республик, и «рассерженные патриоты», которых могут использовать втемную для выступлений против власти."
@rusbrief,https://t.me/rusbrief/192466,2024-01-19 17:37:11,"❗️Правительство РФ сделало бесплатными звонки на номера информационно-справочных служб министерства обороны. «Услуги по пропуску трафика… оплате не подлежат», — говорится в постановлении кабмина."
@rusbrief,https://t.me/rusbrief/192465,2024-01-19 17:34:02,"По меньшей мере 10 человек пострадали во время выставки Motor Bike Expo в итальянском городе Верона. Как сообщили местные СМИ, автомобиль выполнял серию вращений, после чего въехал в ограждение, за которым находились зрители. Пострадавших доставили в больницу, их жизни ничего не угрожает."
@rusbrief,https://t.me/rusbrief/192464,2024-01-19 17:32:42,Японский модуль успешно приземлился на Луну — Kyodo.
@rusbrief,https://t.me/rusbrief/192463,2024-01-19 17:29:22,"На этой неделе Вашингтон посетили представители европейских органов законодательной власти. Они призвали демократов и республиканцев в конгрессе США одобрить военную помощь Украине и предупредили, что если этого не произойдет, страны Европы не смогут поддержать Соединенные Штаты в случае потенциального конфликта с Китаем из-за Тайваня, сообщает The Hill. В делегацию вошли председатели комитетов по иностранным делам из шести стран Европы, в том числе Чехии, Испании, Франции и Литвы, а также Канады. Они встретились с сенатором Тимом Кейном (демократ от Вирджинии) и членами палаты представителей Майком Тернером (республиканец от Огайо), Марио Диасом-Балартой (республиканец от Флориды), Майком Роджерсом (республиканец от Алабамы) и другими."
@rusbrief,https://t.me/rusbrief/192462,2024-01-19 17:26:36,"Ситуацию с пожаром на складе Wildberries активно пытаются “раскрутить” в негативном для WB ключе. В современном мире срок «жизни» таких новостей – максимум три-четыре дня. Помните трагедию в ТЦ «Времена Года», где от ожогов погибло четыре человека? И то, как быстро о ней перестали писать СМИ и телеграм-каналы? С учётом того, что Wildberries погасил все вопросы – компенсации продавцам и покупателям уже выплачиваются, интерес к пожару (в котором, подчеркну, никто не пострадал) должен был пропасть ещё несколько дней назад. Но нет, новости активно генерятся.  Вопрос как всегда ключевой: кому выгодно? Рамиль Харисов"
@rusbrief,https://t.me/rusbrief/192461,2024-01-19 17:25:35,"За 2023 год в России было совершено более 589 тысяч тяжких и особо тяжких преступлений, следует из статистики МВД, обратила внимание «Вёрстка»  (иноагент). Это рекорд с 2011 года. Наибольшее число подобных преступлений зарегистрировано в Москве – 50 196. На втором месте по этому показателю Московская область – 22 212, на третьем – Краснодарский край – 21 671. Сопоставимые данные также фиксировали в Петербурге – 20 489, Тюменской области – 17 581 и Татарстане – 17 126. До рекордных значений число тяжких и особо тяжких преступлений выросло в граничащей с Украиной Белгородской области. Там в 2023 году выявили 5 614 преступлений. Это наибольший показатель как минимум с 2010 года – первого периода наблюдения, отражённого в статистике. В сравнении с 2022 годом рост количества преступлений составил 29%. Согласно данным МВД, наименьшее число  тяжких и особо тяжких преступлений в 2023 году выявили в Ненецком автономном округе – 213, Чукотском автономном округе – 303 и Чечне – 648. При этом для Чеченской республики это тоже рекорд – самый низкий показатель как минимум с 2010 года. За последний год он снизился на 3%. Уменьшилось число преступлений ещё в десяти субъектах: Тверской (-16%), Архангельской (-4%), Калужской (-2%), Смоленской (-7%), Рязанской областях (-2,5%), а также в ЕАО (-18%), Якутии (-0,4%), Карелии (-5%), Дагестане (-4%) и на Камчатке (-0,2%)."
@rusbrief,https://t.me/rusbrief/192460,2024-01-19 17:22:19,"В Чаде заявили о предотвращении мятежа, зачинщиков которого обвинили в колдовстве. Генштаб Вооруженных сил Чада опубликовал коммюнике, согласно которому вооруженная группа людей из движения «М3М» готовила в столице повстанческие акции, запланированные на субботу. Об этом сообщает чадский новостной сайт Alwihdainfo. Группировку из 80 человек возглавлял лейтенант Курумта Левана Гелеми. Все члены группы были арестованы. Утверждается, что лидер объединения уже дал признательные показания, и теперь суд решит их судьбу."
@rusbrief,https://t.me/rusbrief/192459,2024-01-19 17:21:37,"Сбербанк готов интегрировать свои решения и сервисы компаний-партнеров в мультимедийную систему автомобилей Lada. 

Об этом рассказал первый зампред правления банка Александр Ведяхин по итогам встречи с президентом АО «АВТОВАЗ» Максимом Соколовым в Тольятти. «Наши технические специалисты проводят консультации на предмет применения технологий промышленного интернета вещей на производстве, визуализации технологических процессов, мониторинга оборудования», — отметил Ведяхин."
@rusbrief,https://t.me/rusbrief/192458,2024-01-19 17:17:10,"Певица Анна Асти улетела из РФ после «голой» вечеринки. Она планирует переждать зиму и вернуться к выступлениям в России уже в марте, пишет Mash. Правда, состоится ли тур — пока неизвестно. После скандальной вечеринки концерты певицы начали отменять и переносить. А цены на корпоративы с ее участием упали с 10 до 7 млн руб."
@rusbrief,https://t.me/rusbrief/192457,2024-01-19 17:09:01,"Законопроект о конфискации имущества осужденных за фейки о ВС РФ начнут рассматривать в Госдуме только после президентских выборов-2024. Источники отмечают, что ""тематика законопроекта может вызвать ненужных негативный общественный резонанс в преддверии выборов главы государства"". ""Инициатива оказалась довольно спорной и вызвало понятное недовольство у представителей даже системных партий. Не зря от соавторства этого документа уже поспешил публично откреститься лидер ""Новых людей"" Алексей Нечаев. Так что, на время этот законопроект будет ""отложен в долгий ящик"", но после президентской кампании к нему обязательно вернутся"", — добавляют инсайдеры. @protiktok"
@rusbrief,https://t.me/rusbrief/192456,2024-01-19 17:03:53,"США и Великобритания наносят новые удары по объектам йеменских хуситов в Ходейде, передает телеканал Al Masirah."
@rusbrief,https://t.me/rusbrief/192455,2024-01-19 17:03:02,"Премьер-министр Венгрии Виктор Орбан высказался резко против приема мигрантов в стране. «Венгрия ни за какие деньги не позволит мигрантам въезжать на ее территорию», — приводит его слова сербская газета «Политика». Орбан отметил, что Венгрия не допустит такого развития событий, которые произошли в ряде других стран ЕС. При этом он заявил, что миграция связана с угрозами террора, преступностью и появлением так называемых параллельных обществ. По его словам, ЕС не может «шантажировать» Венгрию по проблеме миграции, поскольку эта проблема важнее денег."
@rusbrief,https://t.me/rusbrief/192454,2024-01-19 16:57:35,"Отсутствие американской помощи ограничит возможность Украины наносить удары по территории России, в том числе применять тактические ракеты ATACMS. Об этом сообщает телеканал CNN. По его сведениям, чиновники США считают, что в отсутствие дальнейших поставок Вооруженные силы Украины лишатся возможности проводить ""некоторые из своих самых резонансных операций"", в том числе наносить удары по Крыму и Черному морю. Для этого Киев применял поставленные Западом ракеты. Кроме того, снижение уровня американской поддержки может побудить других европейский союзников Украины также начать отказываться от помощи Киеву, пишет CNN."
@rusbrief,https://t.me/rusbrief/192453,2024-01-19 16:52:45,"Естественная убыль населения (превышение числа умерших над числом родившихся) в России за январь–ноябрь 2023 года сократилась на 19,3% по сравнению с аналогичным периодом 2022 года, составив 438,3 тыс. человек против 543,4 тыс. человек годом ранее — Росстат."
@rusbrief,https://t.me/rusbrief/192452,2024-01-19 16:47:55,"Украинское правительство приняло решение выделить рекордные средства на обустройство оборонительных рубежей. «Сегодня выделяем рекордную сумму на обустройство оборонительных рубежей. Речь идет о 17,5 млрд гривен (около $466 млн), которые будут направлены на строительство инженерно-технических и фортификационных сооружений, соответствующее оборудование и систему невзрывных ограждений», — сообщил премьер-министр страны Денис Шмыгаль. Представитель правительства в Верховной раде Тарас Мельничук уточнил, что деньги выделят из резервного фонда госбюджета на «безвозвратной основе»."
@rusbrief,https://t.me/rusbrief/192451,2024-01-19 16:43:02,"Эрдоган: К западным странам, провалившим экзамен в вопросе Газы, больше не осталось доверия… Их фашистские лица обнажены. Они не предприняли ни одного шага, чтобы предотвратить насилие. Структуры, в задачи которых входит обеспечение глобальной безопасности, так же как в Ираке, Боснии, Сирии и Сомали, потерпели фиаско. Они ограничились наблюдением за геноцидом и варварством, которые в отношении народа Палестины совершает «фюрер современности» (премьер Израиля Биньямин) Нетаньяху."
@rusbrief,https://t.me/rusbrief/192450,2024-01-19 16:40:00,"Российские нефтяные компании на совещании у вице-премьера Новака заявили о планах наращивать производство бензина и дизтоплива в 2024 г, сроки и график ремонтов НПЗ будут оптимизированы, сообщил кабмин."
@rusbrief,https://t.me/rusbrief/192449,2024-01-19 16:35:01,"Азербайджан отказывается от возобновления переговоров по урегулированию отношений с Арменией на существующих площадках, заявил в пятницу глава армянского МИД Арарат Мирзоян, уточнив, что переговоры велись в том числе при поддержке Евросоюза. В четверг глава МИД РФ Сергей Лавров заявил, что Азербайджан готов к подписанию мирного договора между Баку и Ереваном на территории России, позиция Еревана, по его словам, неизвестна. Лавров также заявил, что Запад не хочет позволить Баку и Еревану достичь договоренностей при посредничестве Москвы."
