chanel,link,date,text,predicted_class
@rusbrief,https://t.me/rusbrief/192665,2024-01-20 20:43:02,"Ленин-центр, где желающие смогут познакомиться с биографией Владимира Ленина и разными точками зрения на нее, стоит создать в Ульяновске. Об этом заявил ТАСС вице-спикер Госдумы, кандидат в президенты РФ Владислав Даванков. ""Знаете, почему коммунисты такие грустные? Потому что у Ельцина есть свой центр, а у Ленина нет. Возможно, стоит выделить площадку в Ульяновске под Ленин-центр. Именно историко-культурный. Где можно будет познакомиться с биографией Владимира Ильича и разными точками зрения на нее. А страна продолжит жить, будущим, а не прошлым"", - сказал он. Комментируя результаты опроса ВЦИОМ по поводу идеи перезахоронения Ленина, Даванков отметил, что общество готово примириться с историей, отпустить прошлое и двигаться дальше. ""Как историк по образованию считаю, что прошлое надо уважать, извлекать из него уроки и учитывать при движении в будущее. А не превращать в аттракцион для туристов. Сам Ленин об этом не просил. И очень удивился бы, узнав, что его мумия до сих пор лежит в центре Москвы. Пора положить конец спорам и упокоить тело с миром"", - считает парламентарий.",0
@rusbrief,https://t.me/rusbrief/192664,2024-01-20 20:32:03,"Депутат ГД от ЕР Кирьянов заявил о важности скорейшего принятия законопроекта о конфискации имущества у распространяющих фейки о ВС РФ: по его словам, у осужденных по этой статье УК необходимо конфисковывать все имущество в России. По его мнению, это станет «серьёзным основанием» для того, чтобы ни у кого не возникло желания осуществлять подобную деятельность. «Сегодня фейковые вбросы — это не единичная история, не случайные сюжеты, это в массовом порядке деятельность, которая оплачивается за счёт различного рода специальных служб. Нам надо с этой деятельностью бороться так, чтобы не было желания вписываться в такие схемы и проекты. Когда люди будут понимать, что у них будет конфисковано всё имущество, которое им принадлежит, тогда это уже серьёзное основание. Перспективы у инициативы абсолютно рабочие. Вопрос возникает по срокам, сколько в рамках технических процедур это будет продолжаться, но я думаю, что в течение весенней сессии 2024 года такие решения будут приняты и законопроект будет поддержан», — отметил парламентарий в интервью ""Говорит Москва"".",2
@rusbrief,https://t.me/rusbrief/192663,2024-01-20 20:23:19,"Диму Билана окончательно простили. На концерте к 100-летию «Мосфильма» - он был среди участников, и пел песню «Мне нравится, что вы больны не мной…» из фильма «Ирония судьбы, или С лёгким паром!» Эльдара Рязанова. В фильме знаменитую песню на стихи Марины Цветаевой, музыка Микаэла Таривердиева, пела Алла Пугачёва.  Раз Билан пел 19 января на таком официальном концерте, а трансляция шла на госканале
(«Россия 1»), то «голую вечеринку» ему простили. Иначе вряд ли бы попал на такое мероприятие. 
И на Донбассе был не зря значит. Теперь им и правда не больны. Дима Билан зашёл в ту дверь. Арина Бородина.",2
@rusbrief,https://t.me/rusbrief/192662,2024-01-20 20:12:36,"В 2023 году Китай увеличил экспорт в Россию легковых автомобилей и других моторных транспортных средств, предназначенных для перевозки людей, более чем в семь раз, до $11,5 млрд. Об этом со ссылкой на данные Главного таможенного управления Китая пишет РБК. В 2022 году экспорт составил $1,6 млрд. Согласно данным китайского таможенного управления, прямые поставки электромобилей из Китая в Россию в прошлом году составили $262,6 млн. Всего в Россию было поставлено 8,5 тыс. электромобилей. В 2022 году из Китая было экспортировано 3,11 тыс. электромобилей на $53,4 млн. На прошлой неделе Ассоциация производителей пассажирских автомобилей КНР сообщила, что в 2023 году Китай впервые стал крупнейшим в мире экспортером автомобилей, обойдя Японию. Экспорт легковых машин, произведенных в Китае, составил рекордные 3,83 млн единиц, что на 62% больше, чем годом ранее. Общий автоэкспорт из Китая в прошлом году составил 5,26 млн машин — примерно на $102 млрд.",2
@rusbrief,https://t.me/rusbrief/192661,2024-01-20 20:06:00,"Без американской помощи ""Россия сможет поддерживать свое наступление и сломить Украину"". Об этом заявил президент США Байден, выступая перед мэрами городов Соединенных Штатов. ""Если мы уйдем в сторону, и Россия сможет поддерживать свое наступление и сломить Украину, как вы думаете, что случится с балканскими странами? Что будет происходить от Польши до Венгрии с ее Орбаном?"" - отметил американский президент. Он также вспомнил свой разговор с бывшим госсекретарем США Генри Киссинджером незадолго до его смерти. По словам Байдена, Киссинджер сказал ему, что ""Европа не смотрела на Россию без ужаса со времен Наполеона, и так продолжалось до нынешнего момента"".",0
@rusbrief,https://t.me/rusbrief/192660,2024-01-20 20:00:06,"Министр информации и общественного развития Казахстана Дархан Кыдырали сообщил о введении ограничений на трансляцию турниров по смешанным единоборствам (ММА) на территории страны, что, по его мнению, приведет к снижению уровня насилия. «Потому что в большинстве случаев подростки, которые видели такие программы, особенно школьники, поднимают руки друг на друга в попытках применить эти приемы. Иногда мы, не замечая сами, распространяем это насилие через соцсети. Например, в Сети распространяются видео, на которых девочки дерутся или мальчики жестоко бьют друг друга. А насилие или жестокое обращение, как вы знаете, порождает такую же жестокость», — приводит слова Кыдырали «Метарейтинг. Казахстан».",0
@rusbrief,https://t.me/rusbrief/192659,2024-01-20 19:51:59,"Вице-спикер Мосгордумы Андрей Медведев: депутат или генерал, или любой тупенький охранитель,  мечтающий устроить ГУЛАГ 2.0, отправить всех, кто не такие куда-то там махать кайлом, почему-то не думает о том, что в этом новом проекте он может быть вовсе не Виктором Наседкиным или Василием Чернышовым, а как раз, наоборот, Сергеем Королевым или Иеронимом Уборевичем. А между тем, как показывает наша история, многие из первых руководителей ГУЛАГ, были расстреляны в 37-38, а потом, зачем-то реабилитированы.",2
@rusbrief,https://t.me/rusbrief/192658,2024-01-20 19:49:42,"Минобороны РФ сообщает, что около 22.30 мск средствами ПВО уничтожен беспилотник самолетного типа над Орловской областью.",2
@rusbrief,https://t.me/rusbrief/192657,2024-01-20 19:44:29,"Запад использует образовательные программы для расширения ценностного и политического влияния в странах СНГ, необходимо развивать гуманитарную подготовку, чтобы противостоять этому вмешательству, заявил ректор МГИМО Анатолий Торкунов. Он также обратил внимание, что западные образовательные программы ориентированы в основном на студентов-гуманитариев, в то время как Россия стремится готовить специалистов для реального сектора экономики на пространстве СНГ.",0
@rusbrief,https://t.me/rusbrief/192656,2024-01-20 19:40:09,"На Украину не завозят самолёты F-16 и большое количество ракет ПВО, потому что они станут «хорошей мишенью» для ВС РФ, заявил спикер Воздушных сил ВСУ. Юрий Игнат отмечает, что российская разведка работает хорошо и знает, где ВСУ хранят вооружение. Поэтому для Киева нет смысла размещать на своей территории полные склады с боеприпасами, добавил он.",0
@rusbrief,https://t.me/rusbrief/192655,2024-01-20 19:33:31,"Советский районный суд Уфы отправил в СИЗО Вилюра Карачурина — участника схода в Баймаке в поддержку защитника шиханов Фаиля Алсынова (включен в реестр экстремистов и террористов). Информацию об этом подтвердила адвокат активиста Ольга Лукина.  Карачурина обвиняют по делу об организации массовых беспорядков и участии в них (части 1 и 2 статьи 212 УК). Кроме того, его обвиняют в применении насилия, не опасного для жизни и здоровья, в отношении силовка (часть 1 статьи 318 УК). У Карачурина четверо детей, трое из них — несовершеннолетние.  Дело об участии в массовых беспорядках также возбудили против активиста Ильяса Байгускарова из Уфы, который присутствовал на сходе у суда в Баймаке.",0
